# doubletapd trace v1
# travel_mm=3.5000
us,k1_mm,k2_mm
5226814,1.3719,3.5000
5227815,1.4472,3.5000
5228815,1.5327,3.5000
5229815,1.6114,3.5000
5230815,1.6764,3.5000
5231814,1.7551,3.5000
5232814,1.8304,3.5000
5233815,1.9091,3.5000
5234814,2.0015,3.5000
5235814,2.0904,3.5000
5236814,2.1281,3.5000
5237814,2.2102,3.5000
5238814,2.2820,3.5000
5239814,2.3470,3.5000
5240814,2.4257,3.5000
5241814,2.5010,3.5000
5242815,2.5386,3.5000
5243817,2.6139,3.5000
5244814,2.6857,3.5000
5245814,2.7644,3.5000
5246815,2.8089,3.5000
5247816,2.8910,3.5000
5248814,2.9629,3.5000
5249815,3.0518,3.5000
5250814,3.1476,3.5000
5251810,3.1989,3.5000
5252815,3.3016,3.5000
5253815,3.4076,3.5000
5254815,3.5000,3.5000
5320823,3.5000,3.4932
5321815,3.5000,3.4589
5322815,3.5000,3.4145
5323821,3.5000,3.3871
5324819,3.5000,3.3118
5325815,3.5000,3.2331
5326815,3.5000,3.1476
5327815,3.5000,3.0792
5328815,3.5000,2.9868
5329816,3.5000,2.8842
5330815,3.5000,2.7815
5331815,3.5000,2.6960
5332815,3.5000,2.5899
5333815,3.5000,2.4804
5334816,3.5000,2.4018
5335818,3.5000,2.2786
5336816,3.5000,2.1588
5337815,3.5000,2.0288
5338816,3.5000,1.8920
5339816,3.5000,1.7962
5340816,3.5000,1.6525
5341815,3.5000,1.5122
5342815,3.5000,1.3583
5343817,3.5000,1.2419
5344815,3.5000,1.0846
5345815,3.5000,0.9169
5346816,3.5000,0.8177
5347816,3.5000,0.6329
5348816,3.5000,0.4721
5349816,3.5000,0.2566
5350816,3.5000,0.1745
5351816,3.5000,0.0000
5520826,3.4932,0.0000
5521819,3.4863,0.0000
5522818,3.4589,0.0000
5523818,3.4384,0.0000
5524831,3.4008,0.0000
5525823,3.3631,0.0000
5526830,3.3118,0.0000
5527822,3.2708,0.0000
5528831,3.1989,0.0000
5529819,3.1271,0.0000
5530817,3.0415,0.0000
5531819,2.9663,0.0000
5532816,2.8807,0.0000
5533819,2.7815,0.0000
5534816,2.6720,0.0000
5535819,2.5386,0.0000
5536817,2.4257,0.0000
5537819,2.3265,0.0000
5538817,2.1828,0.0000
5539820,2.0391,0.0000
5540817,1.8851,0.0000
5541820,1.7825,0.0000
5542812,1.6217,0.0000
5543820,1.4575,0.0000
5544816,1.2864,0.0000
5545820,1.1188,0.0000
5546816,0.9922,0.0000
5547819,0.8177,0.0000
5548816,0.6329,0.0000
5549819,0.4448,0.0000
5550812,0.2395,0.0000
5551815,0.1026,0.0000
5552816,0.0787,0.0000
5553820,0.0000,0.0000
5554817,0.0000,0.0000
6213839,0.0547,0.0000
6214831,0.1505,0.0000
6215827,0.3011,0.0000
6216830,0.3935,0.0000
6217826,0.5200,0.0000
6218829,0.5953,0.0000
6219821,0.7048,0.0000
6220829,0.7801,0.0000
6221827,0.8656,0.0000
6222830,0.9272,0.0000
6223826,0.9990,0.0000
6224829,1.0674,0.0000
6225826,1.1290,0.0000
6226829,1.1667,0.0000
6227826,1.2488,0.0000
6228829,1.3240,0.0000
6229826,1.4096,0.0000
6230829,1.4985,0.0000
6231826,1.6012,0.0000
6232828,1.6662,0.0000
6233826,1.7791,0.0000
6234829,1.8988,0.0000
6235826,2.0288,0.0000
6236830,2.1794,0.0000
6237826,2.2717,0.0000
6238830,2.4189,0.0000
6239826,2.5865,0.0000
6240830,2.7644,0.0000
6241826,2.9492,0.0000
6242829,3.0689,0.0000
6243826,3.2639,0.0000
6244829,3.4829,0.0000
6245826,3.5000,0.0000
6321853,3.5000,0.0342
6322829,3.5000,0.0582
6323844,3.5000,0.0718
6324840,3.5000,0.0890
6325846,3.5000,0.1129
6326828,3.5000,0.1916
6327830,3.5000,0.2429
6328827,3.5000,0.3284
6329837,3.5000,0.3900
6330828,3.5000,0.4413
6331829,3.5000,0.5371
6332829,3.5000,0.6193
6333829,3.5000,0.7356
6334827,3.5000,0.8485
6335847,3.5000,0.9888
6336846,3.5000,1.1325
6337849,3.5000,1.2454
6338830,3.5000,1.4233
6339829,3.5000,1.6149
6340830,3.5000,1.7586
6341846,3.5000,1.9809
6342830,3.5000,2.2170
6343846,3.5000,2.4702
6344827,3.5000,2.6618
6345829,3.5000,2.9457
6346828,3.5000,3.2502
6347849,3.5000,3.5000
6430840,3.4966,3.5000
6431852,3.4726,3.5000
6432837,3.4418,3.5000
6433850,3.4110,3.5000
6434841,3.3734,3.5000
6435828,3.3187,3.5000
6436837,3.2571,3.5000
6437845,3.1887,3.5000
6438828,3.1408,3.5000
6439844,3.0655,3.5000
6440825,2.9868,3.5000
6441847,2.8944,3.5000
6442826,2.8157,3.5000
6443845,2.7405,3.5000
6444825,2.6378,3.5000
6445826,2.5386,3.5000
6446827,2.4394,3.5000
6447846,2.3402,3.5000
6448827,2.2512,3.5000
6449825,2.1417,3.5000
6450824,2.0288,3.5000
6451838,1.8988,3.5000
6452824,1.8201,3.5000
6453824,1.6970,3.5000
6454824,1.5704,3.5000
6455824,1.4438,3.5000
6456833,1.3309,3.5000
6457829,1.2317,3.5000
6458829,1.1085,3.5000
6459946,0.9853,3.5000
6460870,0.8416,3.5000
6461832,0.7082,3.5000
6462870,0.5919,3.5000
6463832,0.5064,3.5000
6464829,0.3695,3.5000
6465829,0.2361,3.5000
6466829,0.0787,3.5000
6467829,0.0718,3.5000
6468828,0.0411,3.5000
6469830,0.0000,3.5000
6470829,0.0000,3.5000
6536848,0.0411,3.5000
6537864,0.0582,3.5000
6538861,0.1266,3.5000
6539871,0.1505,3.5000
6540839,0.2019,3.5000
6541865,0.2566,3.5000
6542852,0.2942,3.5000
6543887,0.3729,3.5000
6544853,0.4619,3.5000
6545862,0.5132,3.5000
6546833,0.6056,3.5000
6547871,0.7185,3.5000
6548833,0.8211,3.5000
6549870,0.9374,3.5000
6550835,1.0196,3.5000
6551867,1.1564,3.5000
6552835,1.3275,3.5000
6553891,1.4985,3.5000
6554833,1.6764,3.5000
6555891,1.7928,3.5000
6556850,1.9775,3.5000
6557866,2.1794,3.5000
6558833,2.3881,3.5000
6559866,2.5899,3.5000
6560831,2.7234,3.5000
6561854,2.9321,3.5000
6562832,3.1339,3.5000
6563895,3.3495,3.5000
6564833,3.4829,3.5000
6565870,3.5000,3.5000
6667856,3.5000,3.4966
6668860,3.5000,3.4897
6669829,3.5000,3.4624
6670868,3.5000,3.4350
6671874,3.5000,3.4110
6672903,3.5000,3.3666
6673889,3.5000,3.3152
6674898,3.5000,3.2674
6675867,3.5000,3.2468
